Year,Per Capita Water Use (Liters per Day),Agricultural Water Use (%),Industrial Water Use (%),Household Water Use (%),Rainfall Impact (Annual Precipitation in mm),Country_Code,Scarcity_Code,Lag_1,Lag_2,Lag_3,Agri_Growth,House_Growth,Rainfall_Growth,Rainfall_RollingAvg_3,GWD_Lag1,GWD_Growth,Rainfall_x_GWD
2000,487.72,29.88,34.14,10.8,226.65,9,2,251.4,433.41,433.41,-0.2965194109772423,0.5703703703703704,5.9692918596955655,1709.1133333333335,2.38,-0.8697478991596639,539.427
2000,220.61,31.76,39.02,37.59,317.51,14,0,251.4,433.41,433.41,-0.2965194109772423,0.5703703703703704,5.9692918596955655,1709.1133333333335,2.38,-0.8697478991596639,1168.4368
2000,394.63,21.02,45.28,16.96,1579.59,9,1,251.4,433.41,433.41,-0.2965194109772423,0.5703703703703704,5.9692918596955655,1709.1133333333335,2.38,-0.8697478991596639,489.67289999999997
2000,357.21,41.09,44.56,10.07,2255.92,18,1,251.4,433.41,433.41,-0.2965194109772423,0.5703703703703704,5.9692918596955655,1709.1133333333335,2.38,-0.8697478991596639,9497.423200000001
2000,233.42,67.62,49.23,19.45,994.19,16,2,251.4,433.41,433.41,-0.2965194109772423,0.5703703703703704,5.9692918596955655,1709.1133333333335,2.38,-0.8697478991596639,3260.9432
2000,398.04,24.13,39.65,35.17,1922.46,19,1,251.4,433.41,433.41,-0.2965194109772423,0.5703703703703704,5.9692918596955655,1709.1133333333335,2.38,-0.8697478991596639,2941.3638
2000,166.96,64.03,21.77,13.16,2336.84,3,2,251.4,433.41,433.41,-0.2965194109772423,0.5703703703703704,5.9692918596955655,1709.1133333333335,2.38,-0.8697478991596639,2243.3664
2000,250.38,79.31,10.09,13.61,779.66,17,0,251.4,433.41,433.41,-0.2965194109772423,0.5703703703703704,5.9692918596955655,1709.1133333333335,2.38,-0.8697478991596639,2931.5215999999996
2000,224.68,42.95,38.45,38.73,2367.16,15,0,251.4,433.41,433.41,-0.2965194109772423,0.5703703703703704,5.9692918596955655,1709.1133333333335,2.38,-0.8697478991596639,9847.3856
2000,296.59,28.25,10.2,29.43,1388.08,15,2,764.19,433.41,433.41,-0.3422584400465658,-0.2401239349341595,-0.4136095574443637,1709.1133333333335,4.16,-0.23557692307692302,4414.0944
2000,284.63,47.18,17.16,10.9,2166.23,12,0,764.19,433.41,433.41,-0.3422584400465658,-0.2401239349341595,-0.4136095574443637,1709.1133333333335,4.16,-0.23557692307692302,7148.558999999999
2000,499.62,51.28,48.04,29.15,412.08,18,1,891.07,433.41,433.41,0.24799221221708434,1.8947368421052628,-0.8173339480123409,1709.1133333333335,4.21,-0.7125890736342042,498.61679999999996
2000,325.19,65.83,8.06,27.9,1479.83,2,1,891.07,433.41,433.41,0.24799221221708434,1.8947368421052628,-0.8173339480123409,1709.1133333333335,4.21,-0.7125890736342042,1968.1739
2000,380.27,50.1,16.72,39.3,2660.23,17,2,433.41,433.41,433.41,-0.36830160131131007,1.887582659808964,2.412038580919888,1709.1133333333335,3.76,0.005319148936170137,10055.669399999999
2000,195.06,30.51,25.59,21.97,1611.09,5,1,433.41,433.41,433.41,-0.36830160131131007,1.887582659808964,2.412038580919888,1709.1133333333335,3.76,0.005319148936170137,3238.2908999999995
2000,68.72,69.63,45.02,17.66,1687.45,17,1,665.81,433.41,433.41,0.3898203592814371,-0.5506361323155216,-0.36567514838942494,1709.1133333333335,3.78,-0.15343915343915338,5399.84
2000,369.23,38.58,19.36,10.1,2012.86,15,0,528.75,764.19,433.41,0.3656637168141592,-0.6568127760788312,0.4501037404184196,1922.6999999999998,3.18,-0.4748427672955975,3361.4761999999996
2000,435.64,20.5,29.08,14.01,1430.85,2,1,637.9,764.19,433.41,-0.6885918274343005,-0.49784946236559136,-0.03309839643742862,1922.6999999999998,1.33,2.6992481203007515,7039.781999999999
2000,397.09,62.55,7.69,33.73,965.59,12,2,833.01,764.19,433.41,0.3257736328952945,2.0944954128440365,-0.554253241807195,1922.6999999999998,3.3,0.22121212121212142,3891.3277000000003
2000,296.47,39.5,20.11,22.4,1435.34,8,1,833.01,764.19,433.41,0.3257736328952945,2.0944954128440365,-0.554253241807195,1922.6999999999998,3.3,0.22121212121212142,5267.6978
2000,361.4,65.78,23.42,21.53,1174.14,3,1,469.76,764.19,433.41,0.027330938622520673,0.6360182370820668,-0.49755225004707215,1922.6999999999998,0.96,1.4895833333333335,2806.1946000000003
2000,309.74,26.08,6.44,29.95,146.34,13,1,469.76,764.19,433.41,0.027330938622520673,0.6360182370820668,-0.49755225004707215,1922.6999999999998,0.96,1.4895833333333335,106.8282
2000,214.27,64.7,44.36,26.94,1597.07,19,2,29.49,764.19,433.41,1.6813095731454624,-0.2340062553312482,-0.16925709767693486,1922.6999999999998,1.53,0.30065359477124187,3178.1693
2000,197.19,47.95,9.6,16.07,2581.09,2,0,646.5,637.9,433.41,1.3390243902439027,0.14703783012134197,0.8038858021455779,1830.5900000000001,4.92,-0.5406504065040652,5833.2634
2000,287.35,73.58,32.17,19.35,2570.62,17,0,590.95,665.81,433.41,0.05672842165733161,0.09569648924122309,0.523375507422442,2306.1,3.2,-0.26250000000000007,6066.663199999999
2000,68.23,66.55,11.22,22.85,1766.83,16,0,533.34,665.81,433.41,-0.01582372079266503,0.1748071979434449,0.7771552721310815,2306.1,3.28,0.060975609756097615,6148.5684
2000,443.22,75.82,12.71,29.31,1663.76,11,0,533.34,665.81,433.41,-0.01582372079266503,0.1748071979434449,0.7771552721310815,2306.1,3.28,0.060975609756097615,1497.384
2000,477.41,55.52,11.53,36.12,1211.11,9,1,458.47,251.4,433.41,1.6412940057088488,1.1297169811320753,-0.2332757234472237,1005.7833333333333,0.31,4.967741935483871,2240.5535
2000,263.04,30.63,9.1,29.94,694.07,0,0,458.47,251.4,433.41,1.6412940057088488,1.1297169811320753,-0.2332757234472237,1005.7833333333333,0.31,4.967741935483871,2727.6951000000004
2000,192.35,68.42,23.04,25.45,1126.41,14,0,517.75,251.4,433.41,1.1542821158690177,-0.32295823357275877,2.5476362949198452,1005.7833333333333,3.68,0.059782608695652106,4392.999
2000,378.1,63.23,49.65,18.63,462.63,17,2,893.19,590.95,665.81,-0.14066322370209294,-0.037209302325581506,-0.8200317433148423,1573.5666666666666,2.36,0.4449152542372883,1577.5683000000001
2000,280.15,75.84,16.75,25.95,2363.12,10,1,893.19,590.95,665.81,-0.14066322370209294,-0.037209302325581506,-0.8200317433148423,1573.5666666666666,2.36,0.4449152542372883,7160.253599999999
2000,352.51,40.97,25.34,13.37,2271.23,13,0,731.97,590.95,665.81,0.5709355828220859,-0.5535893155258764,14.520226868935357,1573.5666666666666,0.73,5.438356164383562,10674.781
2000,203.42,73.74,11.82,38.25,2410.02,2,2,597.22,646.5,637.9,0.5378519290928048,1.3802115743621655,-0.06627820029522413,2140.653333333333,2.26,-0.7345132743362832,1446.012
2000,484.82,77.41,36.92,17.23,805.01,14,2,789.09,517.75,637.9,0.1313943291435251,-0.32298624754420424,-0.28533127369252764,749.6433333333334,3.9,-0.15384615384615385,2656.533
2000,197.76,40.15,22.95,28.8,638.88,4,1,789.09,517.75,637.9,0.1313943291435251,-0.32298624754420424,-0.28533127369252764,749.6433333333334,3.9,-0.15384615384615385,1092.4848
2000,449.12,53.49,34.36,14.49,2837.75,19,0,510.28,29.49,637.9,-0.17326120556414215,-0.4621380846325167,0.7768476021714765,2119.0933333333332,1.99,0.05025125628140703,5930.8975
2000,188.0,41.7,38.35,12.64,2502.59,1,1,510.28,29.49,637.9,-0.17326120556414215,-0.4621380846325167,0.7768476021714765,2119.0933333333332,1.99,0.05025125628140703,11386.7845
2000,180.99,45.6,30.16,11.62,897.57,19,1,942.88,510.28,29.49,-0.14750420639371842,-0.19806763285024165,-0.6837036384459518,1777.4633333333331,2.09,-0.3253588516746412,1265.5737
2000,50.84,78.3,19.76,30.52,2850.48,14,0,350.0,789.09,517.75,0.011497222581061894,0.771329077190946,2.5409249574539445,1593.9666666666665,3.3,-0.49090909090909085,4788.8063999999995
2000,475.29,62.36,27.98,28.54,1135.47,4,1,728.85,789.09,517.75,0.553175591531756,-0.009027777777777857,0.7772821187077386,1593.9666666666665,1.71,1.0818713450292399,4042.2732
2000,208.36,78.8,41.64,10.82,2320.09,17,1,388.54,893.19,590.95,0.2462438715799462,-0.4192163177670424,4.015001188855025,1784.4466666666667,3.41,-0.3782991202346041,4918.590800000001
2000,66.75,78.3,7.69,37.8,238.52,8,2,225.31,893.19,590.95,0.9822784810126581,0.6875,-0.8338233449914306,1784.4466666666667,3.67,-0.22343324250681196,679.782
2000,477.81,64.02,29.33,24.11,2251.45,13,0,780.61,731.97,590.95,0.5626067854527703,0.8032909498878087,-0.008708937447990839,1556.3400000000001,4.7,-0.7106382978723405,3061.9719999999998
2000,287.32,58.76,7.23,34.78,2859.35,8,2,102.39,225.31,590.95,-0.2495530012771392,-0.0798941798941798,10.987883615629716,1511.07,2.85,-0.8771929824561404,1000.7724999999999
2000,316.9,67.9,20.05,35.69,1602.81,18,2,240.64,891.07,590.95,0.3241029641185649,0.22435677530017162,2.8895602795573674,1423.6033333333332,1.21,1.6280991735537191,5096.9358
2000,489.79,51.24,20.25,20.35,992.46,0,2,690.52,891.07,590.95,0.6728697355533793,-0.3203072812291249,0.4299134093103001,1423.6033333333332,3.93,-0.5852417302798982,1617.7097999999999
2000,97.35,44.41,21.62,31.44,2282.57,1,2,392.63,891.07,590.95,0.06498800959232609,1.4873417721518987,-0.0879169180728765,1423.6033333333332,4.55,-0.4593406593406594,5615.122200000001
2000,298.82,50.64,40.35,12.28,760.47,15,2,334.1,528.75,764.19,0.31259720062208407,0.2158415841584158,-0.62219429071073,1387.1366666666665,1.67,0.11976047904191622,1422.0789000000002
2000,405.11,26.53,49.64,25.13,1695.14,6,2,334.1,528.75,764.19,0.31259720062208407,0.2158415841584158,-0.62219429071073,1387.1366666666665,1.67,0.11976047904191622,5492.253600000001
2000,345.0,24.81,39.38,14.16,1144.52,7,0,334.1,528.75,764.19,0.31259720062208407,0.2158415841584158,-0.62219429071073,1387.1366666666665,1.67,0.11976047904191622,5116.0044
2000,394.34,20.25,35.85,31.57,2119.73,11,0,677.45,528.75,764.19,-0.73292007385914,0.07710678949164107,0.27405996057123616,1387.1366666666665,0.9,1.8444444444444446,5426.5088000000005
2000,352.52,35.87,34.73,16.69,2000.46,12,0,501.21,833.01,764.19,-0.42653876898481213,-0.5051882597094574,1.0717488789237666,1710.7600000000002,4.03,-0.052109181141439254,7641.7572
2000,286.33,28.59,29.94,18.73,2139.15,13,1,164.12,780.61,731.97,-0.5534208059981256,-0.22314392368311897,-0.049878966888005416,2220.61,1.36,2.1176470588235294,9069.996000000001
2000,123.17,62.84,49.79,17.86,1483.39,12,1,819.36,501.21,833.01,0.7518817953721775,0.07010185739964037,-0.2584755506233566,1483.1466666666668,3.82,-0.38219895287958117,3500.8004
2000,125.55,31.28,37.34,13.9,2665.82,11,1,81.63,677.45,833.01,0.5446913580246915,-0.5597085840988281,0.2576224330457182,2149.77,2.56,0.9257812499999998,13142.4926
2000,70.58,45.44,12.19,12.75,766.25,6,0,307.91,677.45,833.01,0.7127779871843194,-0.49263828093911655,-0.5479724388546079,2149.77,3.24,-0.47530864197530864,1302.625
2000,114.7,70.36,5.34,15.07,873.36,11,1,349.05,81.63,677.45,1.2493606138107416,0.08417266187050365,-0.6723859825494595,1886.3033333333333,4.93,-0.19066937119675442,3484.7064
2000,205.27,62.63,15.14,11.13,1450.0,17,1,209.64,388.54,893.19,-0.20520304568527914,0.02865064695009245,-0.3750242447491261,1410.9066666666668,2.12,0.37735849056603765,4234.0
2000,402.76,49.39,46.49,37.24,1883.82,7,2,202.21,388.54,893.19,0.9907295445384927,1.629943502824859,0.6459476461748157,1410.9066666666668,4.47,-0.5011185682326622,4200.9186
2000,459.08,57.89,34.17,29.08,2669.71,8,2,264.42,102.39,225.31,-0.014805990469707209,-0.1638872915468661,-0.06632276566352491,1922.5266666666666,0.35,5.885714285714286,6434.0011
2000,240.66,66.51,41.46,14.83,1277.22,14,0,112.12,350.0,789.09,-0.15057471264367805,-0.514089121887287,-0.5519280963206197,1644.2366666666667,1.68,-0.2142857142857142,1685.9304000000002
2000,98.96,40.35,26.14,37.72,2571.89,5,1,128.43,350.0,789.09,0.32251720747295964,0.7168866636322258,0.5963664351463915,1644.2366666666667,2.01,1.18407960199005,11290.597099999999
2000,199.5,46.92,29.57,28.95,833.14,0,2,561.65,690.52,789.09,-0.08430913348946134,0.42260442260442255,-0.16053039921004375,839.89,1.63,-0.3190184049079754,924.7854000000001
2000,258.7,38.65,5.28,24.6,1492.96,3,0,938.61,469.76,789.09,-0.41243539069626034,0.14259173246632617,0.2715349106580134,1667.9800000000002,2.39,-0.2594142259414226,2642.5392
2000,154.61,55.03,6.43,20.57,2204.52,14,1,850.64,112.12,350.0,-0.1726056232145542,0.3870532703978422,0.7260299713440128,2110.74,1.32,2.136363636363636,9126.7128
2000,155.48,39.19,18.69,32.43,155.71,5,1,533.81,128.43,350.0,-0.02874845105328383,-0.1402439024390244,-0.9394569752205576,1446.2299999999998,4.39,0.04555808656036442,714.7089
2000,165.91,74.45,35.98,25.59,1611.74,11,0,705.6,349.05,81.63,0.0581296191017624,0.6980756469807565,0.8454474672529082,1716.9733333333334,3.99,-0.30827067669172936,4448.4024
2000,280.18,26.67,35.2,34.83,1294.72,6,1,419.36,307.91,81.63,-0.4130721830985915,1.7317647058823527,0.6896835236541599,1252.0366666666666,1.7,0.8647058823529412,4104.2624
2000,157.88,79.8,34.43,25.43,226.84,3,0,18.15,938.61,469.76,1.0646830530401035,0.03373983739837394,-0.84806022934305,964.6466666666666,1.77,0.4576271186440679,585.2472
2000,499.76,74.83,40.14,15.86,2217.77,12,0,221.82,819.36,501.21,0.19080203691915965,-0.11198208286674127,0.49506872771152555,1900.54,2.36,0.7584745762711866,9203.7455
2000,381.0,79.33,29.61,16.8,141.66,18,2,135.39,240.64,891.07,0.16833578792341664,-0.5292799103390304,-0.911617721376832,718.8499999999999,3.18,-0.7641509433962265,106.245
2000,95.01,72.12,29.39,12.36,702.73,8,2,985.09,264.42,102.39,0.24581102090171014,-0.5749656121045392,-0.7367766536440288,2077.2633333333333,2.41,-0.7842323651452282,365.4196
